0 0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

67	4.33	3.55	5.72	2.66	1.63	2.22	3.72	1.92	1.74	1.62	7.64	5.54	1.51	1.42	0.45	1.27	2.70	0.94	3.38	1.22	4.01	2.18	1.81	0.56	3.12	0.23	2.12	0.22	1.37	0.21	0.41	0.94	1.47	2.21	1.25	0.69	0.75	0.37	1.19	0.93	0.57	0.76	0.40	0.42	0.64	0.50	0.42	0.18	0.16	0.17	0.28	0.78	0.34	0.04	0.33	0.03	0.18	0.04	0.13	0.07	0.05	0.05	0.10	0.27	0.14	0.21	0.18	0.02	0.06	0.16	0.02	0.13	0.01	0.07	0.00	0.13	0.04	0.11	0.10	0.01	0.09	0.02	0.02	0.06	0.01	0.06	0.00	0.07

133	7.14	5.50	7.89	3.53	1.81	3.36	2.42	3.37	3.18	3.10	7.01	5.43	2.70	2.48	1.71	2.01	2.88	1.40	4.17	0.55	3.65	1.66	0.79	0.69	1.93	0.66	0.88	0.51	1.87	1.15	1.63	0.27	1.36	1.50	2.37	1.42	0.95	1.01	0.90	1.07	0.66	0.94	0.13	0.85	0.85	0.80	0.28	0.80	0.32	0.11	0.22	0.90	0.36	0.07	0.15	0.08	0.18	0.03	0.18	0.10	0.14	0.09	0.14	0.26	0.11	0.24	0.16	0.03	0.09	0.15	0.04	0.11	0.01	0.13	0.07	0.08	0.02	0.11	0.07	0.00	0.08	0.02	0.03	0.05	0.00	0.06	0.02	0.06

200	7.73	7.23	10.70	3.72	6.36	3.15	3.35	1.95	1.89	1.46	2.77	3.25	3.55	4.74	6.48	1.08	5.95	2.79	2.80	3.88	3.02	2.66	3.33	1.38	0.98	0.25	2.01	3.18	2.74	3.25	4.81	8.29	10.18	22.78	22.52	13.72	6.24	3.74	2.70	4.11	15.33	12.37	7.24	3.79	4.67	16.35	16.40	2.94	2.56	1.64	1.29	0.76	0.87	1.21	0.35	0.30	0.34	0.25	0.27	0.35	0.23	0.15	0.37	0.40	0.11	0.23	0.12	0.20	0.03	0.12	0.05	0.08	0.30	0.18	0.14	1.52	0.17	0.13	0.05	0.05	0.08	0.04	0.06	0.04	0.01	0.20	0.02	0.08

267	4.87	5.44	6.94	2.94	4.45	0.60	0.88	1.68	0.62	0.93	2.18	1.94	2.48	2.60	2.78	0.26	3.61	1.37	3.21	2.54	2.18	1.09	3.40	2.45	3.26	0.70	4.67	2.00	3.33	5.28	5.68	7.52	9.52	27.93	22.86	3.70	8.05	3.75	2.15	5.72	8.73	21.55	10.28	3.24	4.29	13.28	15.33	7.91	3.47	2.25	0.53	0.96	1.04	1.53	0.35	0.57	0.42	0.13	0.07	0.26	0.17	0.20	0.23	0.32	0.61	0.33	0.14	0.18	0.26	0.26	0.06	0.15	0.16	0.26	0.27	0.70	0.04	0.25	0.14	0.19	0.10	0.02	0.08	0.05	0.06	0.13	0.09	0.16

333	5.40	2.89	2.57	3.21	7.16	3.43	6.02	1.80	3.69	3.64	5.06	4.71	2.27	3.08	7.23	2.25	4.38	1.49	1.49	2.54	2.54	1.11	3.04	1.21	4.78	1.64	4.50	1.24	1.99	4.41	3.72	5.10	4.05	25.13	48.48	17.67	8.68	8.80	5.37	5.85	14.27	10.31	2.64	3.85	3.48	3.50	3.44	6.16	2.04	0.73	0.65	0.76	1.09	0.68	0.29	0.84	0.40	0.03	0.38	0.49	0.16	0.23	0.19	0.11	0.42	0.25	0.27	0.36	0.45	0.12	0.01	0.07	0.11	0.20	0.19	1.14	0.18	0.13	0.14	0.21	0.08	0.05	0.08	0.09	0.06	0.08	0.08	0.14

400	7.63	6.58	7.60	6.40	7.91	5.07	8.55	3.11	3.34	3.92	4.46	4.20	2.66	2.42	2.29	1.89	3.53	1.54	3.93	0.46	1.64	0.86	2.98	1.32	4.09	0.94	2.64	0.60	3.97	4.50	1.78	1.48	1.59	10.25	21.14	4.35	9.32	5.89	5.80	1.10	4.47	2.97	3.19	1.40	0.92	1.25	0.77	1.56	0.51	0.29	0.60	0.12	0.78	0.27	0.37	0.32	0.37	0.09	0.29	0.53	0.26	0.17	0.33	0.13	0.26	0.22	0.08	0.07	0.11	0.18	0.04	0.15	0.10	0.36	0.09	0.15	0.13	0.28	0.09	0.02	0.06	0.07	0.03	0.05	0.07	0.01	0.04	0.02

467	5.92	6.88	2.97	7.28	4.68	6.45	8.29	5.45	5.23	4.86	11.21	9.44	3.73	3.46	3.75	2.99	3.80	2.53	3.30	1.44	0.61	3.13	4.02	0.44	1.37	0.69	1.05	0.87	2.46	2.27	2.02	1.40	2.68	1.63	2.62	1.10	1.42	1.59	0.91	2.44	1.05	1.42	0.58	1.49	0.85	0.25	0.44	0.50	0.63	0.55	0.36	0.30	0.31	0.30	0.80	0.26	0.48	0.23	0.46	0.38	0.25	0.43	0.21	0.39	0.14	0.22	0.22	0.12	0.07	0.19	0.11	0.10	0.03	0.28	0.23	0.17	0.08	0.03	0.02	0.03	0.07	0.06	0.08	0.02	0.07	0.16	0.08	0.09

533	8.18	7.38	9.04	9.42	4.95	9.51	3.40	9.49	8.87	8.64	10.64	10.64	6.48	6.02	6.69	4.16	2.53	3.55	2.58	2.44	2.50	3.87	4.92	6.12	5.92	1.76	3.98	2.81	7.49	6.82	1.97	0.23	5.88	7.89	2.30	8.98	16.49	4.51	7.43	7.30	8.68	1.49	9.94	15.77	6.00	3.22	0.75	9.55	6.63	1.23	0.88	1.07	0.67	0.22	0.80	0.21	0.15	0.30	0.69	0.54	0.15	0.28	0.34	0.22	0.49	0.29	0.08	0.13	0.08	0.09	0.05	0.18	0.03	0.25	0.30	0.16	0.35	0.10	0.28	0.06	0.09	0.05	0.10	0.13	0.10	0.14	0.06	0.13

600	2.19	1.88	1.99	2.02	0.89	1.60	2.66	1.46	1.32	1.33	1.00	1.50	0.40	0.33	0.20	1.45	2.59	1.35	3.05	1.51	3.37	1.81	3.29	2.11	8.69	2.49	0.73	3.75	7.29	6.38	7.93	4.44	11.08	12.19	6.77	18.99	30.87	8.68	7.93	13.04	1.84	6.74	7.26	21.13	8.10	2.95	7.27	10.55	7.13	3.18	0.51	3.03	1.20	0.52	1.08	0.44	0.09	0.58	0.73	0.28	0.42	0.32	0.54	0.15	0.61	0.57	0.29	0.28	0.43	0.25	0.15	0.36	0.28	0.15	0.13	0.36	0.54	0.05	0.37	0.12	0.21	0.06	0.19	0.19	0.11	0.29	0.08	0.00

667	2.65	4.34	8.68	0.35	5.70	2.60	2.25	2.98	3.41	3.18	6.34	6.74	1.29	0.88	3.91	0.41	0.33	1.99	3.66	4.73	1.44	6.82	8.91	4.89	10.74	2.77	5.80	3.17	2.70	5.15	9.25	9.63	10.28	28.29	41.25	17.06	19.76	7.29	4.12	9.66	12.39	1.57	4.55	2.60	1.66	1.27	6.88	2.86	1.07	2.58	1.28	2.70	0.90	1.15	0.80	0.87	0.64	0.37	0.22	0.28	0.10	0.32	0.17	0.35	0.07	0.07	0.24	0.38	0.32	0.30	0.33	0.11	0.20	0.45	0.25	0.63	0.28	0.13	0.20	0.17	0.05	0.11	0.07	0.11	0.01	0.19	0.13	0.02

733	4.18	4.31	5.78	5.97	5.03	4.69	6.34	4.76	5.06	2.63	3.03	4.80	3.65	2.34	3.64	0.56	4.44	1.66	3.56	2.36	1.80	6.08	5.99	1.61	4.02	0.87	3.30	2.24	3.63	2.35	5.36	8.39	2.44	31.95	43.02	16.94	3.13	4.02	2.45	6.41	21.28	4.76	0.28	4.24	0.96	2.52	1.78	1.13	0.08	1.05	0.87	0.55	0.79	0.51	0.46	0.87	0.41	0.24	0.18	0.25	0.16	0.11	0.32	0.38	0.32	0.21	0.03	0.32	0.25	0.27	0.25	0.08	0.14	0.05	0.16	0.14	0.05	0.04	0.13	0.19	0.11	0.06	0.03	0.03	0.01	0.14	0.06	0.06

800	3.62	4.48	9.65	5.99	8.53	4.68	6.83	3.76	3.80	3.79	2.89	3.92	3.28	2.81	4.35	2.35	4.61	2.82	1.84	1.29	3.21	2.25	3.25	2.65	4.23	2.44	3.74	3.01	4.73	3.00	1.67	2.58	6.27	12.71	6.10	7.85	7.41	2.33	3.57	7.76	3.84	4.88	7.12	6.43	1.37	4.34	6.07	8.90	1.49	5.12	5.77	11.12	7.44	16.60	16.07	9.09	13.95	1.63	3.71	1.32	2.18	2.06	6.59	2.12	1.61	14.22	6.36	1.54	1.51	1.37	0.65	0.33	0.04	0.33	0.29	0.19	0.18	0.37	0.12	0.42	0.17	0.12	0.07	0.09	0.03	0.27	0.05	0.04

867	8.11	8.49	13.36	8.36	11.38	6.53	9.94	3.15	4.07	3.12	4.14	5.77	2.37	2.44	5.58	1.78	6.53	1.38	2.62	2.98	3.37	2.99	4.03	4.94	2.10	3.49	3.05	3.41	5.18	6.66	5.35	4.70	1.53	21.81	29.37	7.54	9.13	6.03	1.02	4.27	3.00	11.82	8.97	6.10	2.65	8.22	1.82	10.34	1.02	3.04	10.01	9.61	4.57	24.78	20.58	18.15	13.81	0.45	4.84	1.00	2.57	1.38	7.56	9.28	3.32	15.74	5.63	1.99	4.31	2.08	0.29	0.10	0.58	0.46	0.56	0.47	0.03	0.24	0.15	0.65	0.30	0.26	0.21	0.24	0.06	0.29	0.02	0.08

933	4.45	4.27	7.45	4.81	8.18	2.68	8.89	2.74	1.60	1.00	2.19	3.26	1.56	0.95	2.19	0.86	3.68	1.69	2.50	2.07	2.49	4.91	6.12	5.75	7.03	5.83	5.36	5.75	2.40	4.69	9.01	12.48	11.28	27.78	20.09	10.23	3.03	2.31	1.62	6.70	8.34	4.48	2.18	5.28	1.50	3.20	4.57	7.72	0.30	2.08	4.71	1.82	8.41	9.69	9.91	8.86	2.74	2.16	1.87	1.30	2.89	1.17	1.26	9.68	1.28	1.75	0.30	0.16	3.77	1.45	0.73	0.48	0.46	0.27	0.44	0.59	0.20	0.40	0.05	0.16	0.05	0.08	0.17	0.31	0.01	0.12	0.06	0.06

1000	5.30	4.65	2.44	6.21	6.87	4.90	7.70	4.99	4.79	3.78	3.22	1.89	3.63	3.03	2.25	0.96	2.82	0.84	1.01	1.22	1.80	3.14	1.95	0.74	4.61	2.02	4.79	1.65	2.03	1.33	4.85	8.68	6.68	27.33	28.61	10.23	5.84	3.74	1.66	5.93	11.56	1.02	2.07	5.57	1.89	2.88	2.58	4.54	1.47	1.27	1.12	4.04	2.59	1.19	2.17	1.53	1.73	1.15	0.72	0.28	0.62	0.70	0.33	1.79	0.94	1.17	1.16	0.98	1.67	0.58	0.36	0.26	0.15	0.09	0.12	0.15	0.06	0.29	0.07	0.12	0.16	0.10	0.02	0.18	0.02	0.12	0.05	0.01

1067	7.49	7.69	2.70	7.34	6.41	6.72	6.68	5.73	5.20	4.70	7.89	5.93	2.97	2.17	4.90	0.85	3.33	1.08	2.05	2.26	1.84	2.82	3.18	2.08	1.66	1.52	3.71	1.21	1.83	0.52	1.14	1.99	5.76	7.62	4.06	0.22	1.14	0.27	1.56	4.33	3.17	2.45	1.94	0.04	0.93	2.31	0.56	0.67	1.39	2.61	3.46	4.89	4.52	7.41	4.18	3.48	2.58	2.28	2.10	2.03	1.65	1.45	1.97	2.27	3.51	3.30	1.05	0.62	0.44	0.71	0.36	0.26	0.52	0.17	0.20	0.30	0.20	0.10	0.08	0.06	0.17	0.10	0.11	0.13	0.06	0.09	0.03	0.10

1133	5.35	5.14	3.43	2.45	5.09	4.45	1.88	1.69	2.69	3.23	2.05	2.44	1.29	1.25	4.38	1.61	4.54	1.92	2.01	2.63	5.53	6.31	5.70	1.02	2.77	4.77	3.98	3.89	5.24	7.65	10.04	14.27	22.98	42.19	27.05	12.98	4.01	3.64	1.73	2.44	25.73	11.48	7.00	2.15	1.48	5.01	0.86	1.35	1.42	4.64	3.31	5.88	17.70	9.25	13.58	7.17	1.10	2.76	1.75	3.51	2.77	3.21	2.17	3.18	2.19	4.92	1.32	1.21	2.43	1.01	1.09	0.48	0.55	0.45	0.66	0.35	0.42	0.27	0.13	0.09	0.35	0.15	0.18	0.43	0.09	0.16	0.17	0.17

1200	7.41	6.40	10.11	6.57	9.30	3.03	5.30	5.25	2.90	1.32	2.49	6.44	3.62	3.01	8.47	4.00	7.16	6.68	1.66	7.49	8.31	8.38	3.57	5.68	6.61	8.88	7.69	9.62	5.97	6.72	19.02	28.40	37.07	94.71	67.39	31.13	16.90	11.97	5.35	6.59	56.93	25.90	13.69	6.69	5.31	9.23	2.76	4.85	1.44	5.79	2.61	1.30	12.84	4.75	13.56	7.50	2.33	1.59	1.48	2.48	2.44	3.36	0.11	1.29	1.86	4.17	1.05	1.13	2.01	1.03	1.38	0.68	0.40	0.31	0.95	0.24	0.81	0.52	0.21	0.06	0.34	0.27	0.33	0.47	0.30	0.43	0.42	0.25

1267	1.30	0.80	6.85	0.96	7.87	4.75	6.69	2.78	5.80	5.34	4.21	3.28	3.21	2.69	1.83	1.80	5.52	1.18	2.56	3.15	5.79	5.09	4.46	2.91	4.04	3.64	6.83	5.56	1.69	7.81	11.79	8.23	25.14	62.19	53.28	17.80	17.01	9.23	11.03	20.66	53.08	19.58	9.00	8.31	0.91	4.80	2.22	4.30	1.66	3.45	0.21	1.81	2.00	1.75	2.52	0.12	0.44	0.86	1.07	1.10	1.27	1.20	0.76	0.47	0.59	1.38	0.24	0.41	0.53	0.60	0.54	0.25	0.23	0.50	0.37	0.05	0.74	0.50	0.20	0.00	0.12	0.16	0.27	0.21	0.22	0.32	0.25	0.08

1333	2.92	4.12	8.14	3.66	6.63	4.01	5.33	3.41	2.64	3.98	4.59	3.16	2.38	2.14	4.13	2.18	4.02	2.50	1.86	1.33	3.58	1.15	2.15	0.58	1.29	2.30	1.71	3.04	0.44	8.27	2.03	10.99	30.93	5.26	22.22	7.62	7.63	3.37	4.06	15.79	24.04	6.37	8.14	9.47	3.69	2.67	10.93	13.52	0.55	3.12	1.21	0.32	0.82	1.18	1.03	1.08	0.98	0.36	0.41	0.37	0.71	0.38	0.49	1.01	0.47	0.39	0.43	0.27	0.59	1.91	0.41	0.26	0.05	0.50	0.47	0.42	0.16	0.15	0.14	0.15	0.06	0.14	0.10	0.04	0.02	0.04	0.06	0.12

1400	12.03	11.48	15.44	9.92	11.77	8.23	5.87	6.05	5.53	5.12	3.51	3.90	2.28	1.79	1.25	1.43	0.50	0.74	1.84	1.57	1.04	3.22	1.08	1.89	1.95	1.63	2.12	1.92	3.20	4.92	7.31	4.91	9.19	8.52	10.05	3.16	6.00	2.60	4.97	7.34	8.72	5.09	3.94	12.13	6.85	8.56	6.22	10.17	2.15	4.81	3.06	1.90	1.45	1.67	1.04	1.30	0.31	0.33	0.34	0.69	0.39	0.83	0.59	0.58	0.36	0.71	0.16	0.25	0.78	1.65	0.52	0.23	0.19	0.70	0.35	0.47	0.08	0.10	0.05	0.11	0.08	0.07	0.07	0.05	0.07	0.08	0.04	0.06

1467	11.39	11.21	13.59	9.39	13.65	6.06	10.18	3.80	2.14	1.56	5.45	3.56	0.72	0.74	3.06	0.06	4.35	0.69	1.40	4.11	1.65	0.55	1.73	1.12	2.40	1.13	0.98	0.84	3.25	5.01	2.22	2.30	3.55	0.85	2.79	2.41	0.96	0.55	0.21	1.71	5.59	6.68	4.84	6.48	7.45	0.27	2.56	3.69	4.96	4.65	5.86	3.42	0.52	2.38	0.57	0.82	0.75	0.63	0.31	0.16	0.88	0.47	0.84	0.43	0.31	0.55	0.45	0.36	0.63	0.89	0.44	0.25	0.24	0.20	0.23	0.36	0.15	0.15	0.21	0.09	0.14	0.07	0.14	0.11	0.08	0.13	0.08	0.06

1533	12.31	12.43	12.90	9.93	13.44	5.00	12.40	4.37	2.91	2.60	8.12	7.10	1.48	1.49	4.48	0.70	3.33	0.24	2.79	4.43	0.08	2.37	3.77	0.21	3.89	1.93	3.10	1.61	12.77	11.86	7.84	5.47	3.60	3.02	4.60	4.75	2.95	2.48	1.93	0.77	9.33	5.91	0.72	2.50	3.71	3.86	3.41	5.84	6.86	1.52	3.28	4.42	0.27	1.10	0.08	0.88	0.19	0.66	0.65	0.29	0.68	0.12	0.38	0.08	0.17	0.38	0.22	0.19	0.30	0.32	0.26	0.24	0.15	0.19	0.12	0.33	0.12	0.15	0.09	0.02	0.01	0.03	0.06	0.07	0.03	0.09	0.04	0.02

1600	6.90	6.90	7.69	4.33	8.80	2.66	8.29	1.91	1.61	1.65	2.10	2.45	1.60	1.91	1.85	1.49	1.43	0.30	3.13	0.82	2.27	2.45	2.52	1.19	4.02	1.64	1.73	1.45	11.48	10.58	6.95	4.68	4.67	3.29	3.10	2.80	2.28	1.28	0.89	2.38	5.32	1.32	0.61	0.68	0.27	1.12	0.88	2.82	0.45	0.42	0.15	1.55	0.38	0.41	0.13	0.56	0.19	0.24	0.41	0.31	0.19	0.10	0.18	0.22	0.24	0.01	0.15	0.17	0.08	0.17	0.07	0.19	0.07	0.02	0.09	0.14	0.05	0.07	0.06	0.11	0.01	0.09	0.03	0.05	0.02	0.01	0.03	0.07

1667	1.36	1.53	3.18	2.18	2.64	2.28	4.41	2.86	2.60	2.02	6.51	6.01	1.81	1.73	2.65	1.52	0.32	1.24	3.76	1.03	3.39	1.53	0.58	1.60	1.48	0.86	1.48	0.74	4.60	4.43	3.34	1.21	1.56	2.77	1.24	0.38	1.16	1.23	0.28	0.24	2.40	0.81	0.13	1.54	0.66	0.49	0.04	0.23	0.40	0.20	0.42	0.58	0.19	0.17	0.13	0.26	0.22	0.12	0.16	0.05	0.15	0.05	0.08	0.13	0.13	0.08	0.04	0.10	0.12	0.05	0.01	0.09	0.04	0.06	0.05	0.02	0.04	0.02	0.05	0.06	0.02	0.05	0.02	0.06	0.01	0.04	0.03	0.02

1733	1.51	1.33	6.98	0.98	5.43	0.71	2.21	0.63	0.51	0.41	4.49	4.55	0.26	0.32	1.57	0.59	1.70	0.58	1.86	1.14	2.11	1.51	1.30	1.62	1.29	0.58	0.80	0.38	1.01	1.36	2.31	0.51	2.42	1.91	1.36	1.27	1.62	0.67	0.56	1.05	2.73	1.21	0.53	0.19	0.54	0.17	0.30	0.31	0.22	0.11	0.18	0.20	0.16	0.05	0.06	0.11	0.07	0.05	0.05	0.03	0.01	0.03	0.05	0.04	0.10	0.05	0.02	0.05	0.05	0.05	0.01	0.04	0.01	0.05	0.02	0.00	0.01	0.02	0.03	0.02	0.01	0.02	0.01	0.02	0.00	0.02	0.01	0.00

1800	4.14	3.98	5.93	3.85	2.66	3.83	1.79	3.43	3.16	2.94	6.45	6.18	2.20	1.82	3.96	1.00	0.54	0.47	0.73	0.48	1.14	1.10	1.87	0.77	0.41	0.57	0.85	0.56	1.80	2.49	2.09	1.24	0.32	1.42	0.97	0.72	2.16	1.35	0.69	0.22	1.93	0.59	0.49	0.43	0.22	0.21	0.34	0.08	0.13	0.08	0.22	0.33	0.10	0.15	0.22	0.16	0.01	0.13	0.08	0.06	0.02	0.13	0.11	0.09	0.02	0.07	0.05	0.06	0.07	0.04	0.05	0.05	0.01	0.01	0.05	0.04	0.01	0.03	0.03	0.03	0.01	0.04	0.04	0.03	0.02	0.02	0.02	0.02

1867	2.98	2.45	6.74	3.24	7.45	2.12	7.13	2.68	2.30	2.01	0.37	1.16	1.79	2.54	2.58	0.30	1.77	1.69	1.70	1.75	1.19	1.42	3.42	2.75	3.73	4.75	2.69	5.36	4.79	4.29	3.94	13.02	22.30	31.57	22.62	14.26	8.41	5.47	5.10	8.55	16.71	5.03	0.22	1.76	0.88	3.59	0.89	0.84	0.15	0.58	0.33	0.30	0.09	0.60	0.12	0.12	0.09	0.16	0.31	0.23	0.32	0.29	0.03	0.09	0.08	0.10	0.02	0.07	0.07	0.08	0.10	0.08	0.19	0.03	0.15	0.17	0.02	0.04	0.06	0.04	0.08	0.06	0.14	0.07	0.14	0.04	0.09	0.06

1933	14.12	13.48	14.32	12.06	10.98	11.51	8.37	8.44	8.15	7.44	4.65	3.44	3.49	5.56	1.78	0.52	2.87	1.69	2.19	4.10	3.74	2.35	4.91	5.55	4.39	6.68	6.67	6.86	5.10	0.74	9.96	18.63	18.48	64.60	54.44	23.21	15.52	9.01	5.30	4.82	42.65	19.41	7.25	2.93	1.52	1.82	3.20	2.70	0.54	1.28	0.63	0.71	0.40	1.20	0.32	0.40	0.36	0.48	1.10	0.35	0.70	0.62	0.27	0.39	0.25	0.14	0.15	0.19	0.18	0.33	0.24	0.12	0.25	0.16	0.25	0.47	0.23	0.17	0.32	0.15	0.10	0.12	0.20	0.19	0.18	0.21	0.16	0.17

